method,mean_sid_length,num_unique_sids,collision_bucket_count,colliding_item_count,excess_item_collisions,mean_items_per_sid,p95_items_per_sid,max_items_per_sid,artist_prefix_purity@1,album_prefix_purity@1,album_prefix_purity@2,has_dvae_metrics,has_rkmeans_metrics,has_sid_metrics,has_seqrec_summary,recall@10,recall@50,recall@100,ndcg@10,ndcg@50,ndcg@100,coverage@10,coverage@50,coverage@100,head_recall@10,head_recall@50,head_recall@100,head_ndcg@10,head_ndcg@50,head_ndcg@100,tail_recall@10,tail_recall@50,tail_recall@100,tail_ndcg@10,tail_ndcg@50,tail_ndcg@100,long_tail_share
fixed,5.0,263537,3859,8376,4517,1.0171399082481776,1.0,40,0.2032911279070635,0.0643937415595365,0.7332440478411066,True,False,False,True,0.03192552464103447,0.08299584494819326,0.08299584494819326,0.016089004840396978,0.02724722396875692,0.02724722396875692,0.024148119408775842,0.07044849172181725,0.07044849172181725,0.04378347083514285,0.11152120422637084,0.11152120422637084,0.022087907693590047,0.0369338443311242,0.0369338443311242,0.00038498556304138523,0.007122232916265643,0.007122232916265643,0.00013273157275098266,0.0014821190280079036,0.0014821190280079036,0.028887603218844427
original,3.2128675565371156,224285,13811,57580,43769,1.1951490291370355,2.0,515,0.20423869817275622,0.0651398598789796,0.7070146275244571,True,False,False,True,0.03970967232945887,0.10329774364908248,0.10329774364908248,0.02032534595529011,0.03420628281154925,0.03420628281154925,0.0403500787154827,0.11087318226924425,0.11087318226924425,0.0542046605876395,0.13692285424808276,0.13692285424808276,0.027809830153260568,0.04592162670214912,0.04592162670214912,0.0011549566891241587,0.013859480269489919,0.013859480269489919,0.00041762648511536524,0.003045046645946588,0.003045046645946588,0.04506916320412391
aux,2.3507464913786027,158955,30054,139153,109099,1.6863514831241546,4.0,792,0.2054586016250457,0.06462130764696665,0.48622999554470864,True,False,False,True,0.04565297428075536,0.11707778888129222,0.11707778888129222,0.02349396692263754,0.038959458308224774,0.038959458308224774,0.050512210226297684,0.14168040767904974,0.14168040767904974,0.061296859169199545,0.15262700825010803,0.15262700825010803,0.03171813708704689,0.05158361708184226,0.05158361708184226,0.004042348411934554,0.022521655437921173,0.022521655437921173,0.0016187824506823233,0.005380897012007493,0.005380897012007493,0.05977909851154661
prefix,3.5421482238653406,219089,14262,63227,48965,1.2234936486998433,2.0,744,0.2579704089474509,0.077663455870832,0.5039856201900305,True,False,False,True,0.0443906800610108,0.11039814863514431,0.11039814863514431,0.022312544674044383,0.036609621831168386,0.036609621831168386,0.04554679281040387,0.12612757131025837,0.12612757131025837,0.06021131856998123,0.14669271964104805,0.14669271964104805,0.03036347014406341,0.04912553789305022,0.04912553789305022,0.0023099133782483235,0.013859480269489887,0.013859480269489887,0.0008981677453199183,0.0033189715630094437,0.0033189715630094437,0.055873349813284845
rkmeans,5.0,258555,7177,16676,9499,1.0367387983214402,1.0,128,0.1377931312347512,0.03561595797861625,0.48240653002753175,False,True,False,True,0.029926892126439907,0.08210171987587465,0.08210171987587465,0.015400884452620809,0.026707686027083663,0.026707686027083663,0.0203317242048244,0.061506263663291726,0.061506263663291726,0.0411058040237371,0.11130409610652721,0.11130409610652721,0.021154799254427595,0.036387214461086434,0.036387214461086434,0.00019249278152069362,0.0044273339749759276,0.0044273339749759276,9.624639076034681e-05,0.0009614446601826754,0.0009614446601826754,0.020677431231262533
hier_artist_album_rq_a1024_b64_r1024_r3,5.0,260106,6428,14376,7948,1.0305567730079275,1.0,30,0.21473658292732062,0.04532295731457094,0.5263267849015497,False,False,True,True,0.04270762110135177,0.10503339820123048,0.10503339820123048,0.02247009971539171,0.035953062349516056,0.035953062349516056,0.05910749326628217,0.13401031135517472,0.13401031135517472,0.056592849905919895,0.13547546678245875,0.13547546678245875,0.029687139429199497,0.04683511080270706,0.04683511080270706,0.005774783445620823,0.0240615976900866,0.0240615976900866,0.0032737465362976037,0.007008279765071383,0.007008279765071383,0.04693209909009821
